,ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
238,230,"<a href=""/en/players/15f3ec41/Callum-Hudson-Odoi""Callum Hudson-Odoi","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",FW,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats""Nott'ham Forest",23-116,2000,17,10,960,10.7,4,1,5,4,0,0,0,0,1.2,1.2,1.7,2.8,58,31,88,0.37,0.09,0.47,0.37,0.47,0.11,0.16,0.27,0.11,0.27,"<a href=""/en/players/15f3ec41/matchlogs/2023-2024/summary/Callum-Hudson-Odoi-Match-Logs""Matches"
239,231,"<a href=""/en/players/a0666d3e/Will-Hughes""Will Hughes","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",MF,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats""Crystal Palace",28-320,1995,19,15,"1,283",14.3,0,0,0,0,0,0,3,0,0.2,0.2,0.8,1.0,9,42,7,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.01,0.07,"<a href=""/en/players/a0666d3e/matchlogs/2023-2024/summary/Will-Hughes-Match-Logs""Matches"
240,232,"<a href=""/en/players/8b04d6c1/Pierre-Hojbjerg""Pierre Højbjerg","<a href=""/en/country/DEN/Denmark-Football""<span style=""white-space: nowrap""<span class=""f-i f-dk"" style=""""dk",MF,"<a href=""/en/squads/361ca564/Tottenham-Hotspur-Stats""Tottenham",28-210,1995,24,6,980,10.9,0,0,0,0,0,0,3,0,0.4,0.4,0.8,1.3,12,91,22,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.12,0.04,0.12,"<a href=""/en/players/8b04d6c1/matchlogs/2023-2024/summary/Pierre-Hojbjerg-Match-Logs""Matches"
241,233,"<a href=""/en/players/491a433d/Rasmus-Hojlund""Rasmus Højlund","<a href=""/en/country/DEN/Denmark-Football""<span style=""white-space: nowrap""<span class=""f-i f-dk"" style=""""dk",FW,"<a href=""/en/squads/19538871/Manchester-United-Stats""Manchester Utd",21-027,2003,20,17,"1,465",16.3,7,2,9,7,0,0,2,0,6.5,6.5,1.1,7.6,22,23,75,0.43,0.12,0.55,0.43,0.55,0.40,0.07,0.46,0.40,0.46,"<a href=""/en/players/491a433d/matchlogs/2023-2024/summary/Rasmus-Hojlund-Match-Logs""Matches"
242,234,"<a href=""/en/players/a4e85758/Igor""Igor","<a href=""/en/country/BRA/Brazil-Football""<span style=""white-space: nowrap""<span class=""f-i f-br"" style=""""br",DF,"<a href=""/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats""Brighton",26-024,1998,15,11,986,11.0,0,0,0,0,0,0,4,0,0.1,0.1,0.3,0.4,19,77,6,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,"<a href=""/en/players/a4e85758/matchlogs/2023-2024/summary/Igor-Match-Logs""Matches"
243,235,"<a href=""/en/players/07802f7f/Danny-Ings""Danny Ings","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",FW,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats""West Ham",31-223,1992,13,2,255,2.8,0,0,0,0,0,0,1,0,0.9,0.9,0.3,1.2,5,4,13,0.00,0.00,0.00,0.00,0.00,0.32,0.10,0.42,0.32,0.42,"<a href=""/en/players/07802f7f/matchlogs/2023-2024/summary/Danny-Ings-Match-Logs""Matches"
244,236,"<a href=""/en/players/84c5ceea/Tim-Iroegbunam""Tim Iroegbunam","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",MF,"<a href=""/en/squads/8602292d/Aston-Villa-Stats""Aston Villa",20-246,2003,3,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"<a href=""/en/players/84c5ceea/matchlogs/2023-2024/summary/Tim-Iroegbunam-Match-Logs""Matches"
245,237,"<a href=""/en/players/8e92be30/Alexander-Isak""Alexander Isak","<a href=""/en/country/SWE/Sweden-Football""<span style=""white-space: nowrap""<span class=""f-i f-se"" style=""""se",FW,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats""Newcastle Utd",24-163,1999,18,15,"1,243",13.8,10,0,10,8,2,2,0,0,10.1,8.6,1.0,9.6,37,32,65,0.72,0.00,0.72,0.58,0.58,0.73,0.07,0.81,0.62,0.69,"<a href=""/en/players/8e92be30/matchlogs/2023-2024/summary/Alexander-Isak-Match-Logs""Matches"
246,238,"<a href=""/en/players/6ca5ec4b/Alex-Iwobi""Alex Iwobi","<a href=""/en/country/NGA/Nigeria-Football""<span style=""white-space: nowrap""<span class=""f-i f-ng"" style=""""ng",MF,"<a href=""/en/squads/d3fd31cc/Everton-Stats""Everton",27-304,1996,2,2,140,1.6,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,6,4,8,0.00,0.00,0.00,0.00,0.00,0.21,0.14,0.35,0.21,0.35,"<a href=""/en/players/6ca5ec4b/matchlogs/2023-2024/summary/Alex-Iwobi-Match-Logs""Matches"
247,239,"<a href=""/en/players/6ca5ec4b/Alex-Iwobi""Alex Iwobi","<a href=""/en/country/NGA/Nigeria-Football""<span style=""white-space: nowrap""<span class=""f-i f-ng"" style=""""ng","FW,MF","<a href=""/en/squads/fd962109/Fulham-Stats""Fulham",27-304,1996,18,13,"1,242",13.8,4,1,5,4,0,0,2,0,4.1,4.1,1.4,5.5,53,87,106,0.29,0.07,0.36,0.29,0.36,0.29,0.10,0.40,0.29,0.40,"<a href=""/en/players/6ca5ec4b/matchlogs/2023-2024/summary/Alex-Iwobi-Match-Logs""Matches"
248,240,"<a href=""/en/players/9c36ed83/Nicolas-Jackson""Nicolas Jackson","<a href=""/en/country/SEN/Senegal-Football""<span style=""white-space: nowrap""<span class=""f-i f-sn"" style=""""sn",FW,"<a href=""/en/squads/cff3d9bb/Chelsea-Stats""Chelsea",22-256,2001,22,18,"1,636",18.2,7,3,10,7,0,0,9,0,11.3,11.3,2.7,13.9,34,40,103,0.39,0.17,0.55,0.39,0.55,0.62,0.15,0.77,0.62,0.77,"<a href=""/en/players/9c36ed83/matchlogs/2023-2024/summary/Nicolas-Jackson-Match-Logs""Matches"
