,ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
270,261,"<a href=""/en/players/cc77354e/Boubacar-Kamara""Boubacar Kamara","<a href=""/en/country/FRA/France-Football""<span style=""white-space: nowrap""<span class=""f-i f-fr"" style=""""fr",MF,"<a href=""/en/squads/8602292d/Aston-Villa-Stats""Aston Villa",24-100,1999,20,20,"1,652",18.4,0,1,1,0,0,0,7,1,0.1,0.1,1.3,1.4,19,83,10,0.00,0.05,0.05,0.00,0.05,0.01,0.07,0.08,0.01,0.08,"<a href=""/en/players/cc77354e/matchlogs/2023-2024/summary/Boubacar-Kamara-Match-Logs""Matches"
271,262,"<a href=""/en/players/6a7353d7/Willy-Kambwala""Willy Kambwala","<a href=""/en/country/FRA/France-Football""<span style=""white-space: nowrap""<span class=""f-i f-fr"" style=""""fr",DF,"<a href=""/en/squads/19538871/Manchester-United-Stats""Manchester Utd",19-190,2004,2,1,85,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"<a href=""/en/players/6a7353d7/matchlogs/2023-2024/summary/Willy-Kambwala-Match-Logs""Matches"
272,263,"<a href=""/en/players/1caa93a5/Thomas-Kaminski""Thomas Kaminski","<a href=""/en/country/BEL/Belgium-Football""<span style=""white-space: nowrap""<span class=""f-i f-be"" style=""""be",GK,"<a href=""/en/squads/e297cd13/Luton-Town-Stats""Luton Town",31-131,1992,25,25,"2,250",25.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"<a href=""/en/players/1caa93a5/matchlogs/2023-2024/summary/Thomas-Kaminski-Match-Logs""Matches"
273,264,"<a href=""/en/players/32e7ce92/Loris-Karius""Loris Karius","<a href=""/en/country/GER/Germany-Football""<span style=""white-space: nowrap""<span class=""f-i f-de"" style=""""de",GK,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats""Newcastle Utd",30-254,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"<a href=""/en/players/32e7ce92/matchlogs/2023-2024/summary/Loris-Karius-Match-Logs""Matches"
274,265,"<a href=""/en/players/c5b7c315/Michael-Keane""Michael Keane","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",DF,"<a href=""/en/squads/d3fd31cc/Everton-Stats""Everton",31-051,1993,7,4,404,4.5,1,0,1,1,0,0,1,0,0.7,0.7,0.0,0.7,3,10,2,0.22,0.00,0.22,0.22,0.22,0.15,0.00,0.15,0.15,0.15,"<a href=""/en/players/c5b7c315/matchlogs/2023-2024/summary/Michael-Keane-Match-Logs""Matches"
275,266,"<a href=""/en/players/51dbeea9/Thilo-Kehrer""Thilo Kehrer","<a href=""/en/country/GER/Germany-Football""<span style=""white-space: nowrap""<span class=""f-i f-de"" style=""""de","DF,MF","<a href=""/en/squads/7c21e445/West-Ham-United-Stats""West Ham",27-163,1996,4,0,22,0.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"<a href=""/en/players/51dbeea9/matchlogs/2023-2024/summary/Thilo-Kehrer-Match-Logs""Matches"
276,267,"<a href=""/en/players/62d7ef38/Caoimhin-Kelleher""Caoimhín Kelleher","<a href=""/en/country/IRL/Republic-of-Ireland-Football""<span style=""white-space: nowrap""<span class=""f-i f-ie"" style=""""ie",GK,"<a href=""/en/squads/822bd0ba/Liverpool-Stats""Liverpool",25-100,1998,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"<a href=""/en/players/62d7ef38/matchlogs/2023-2024/summary/Caoimhin-Kelleher-Match-Logs""Matches"
277,268,"<a href=""/en/players/f31def1e/Lloyd-Kelly""Lloyd Kelly","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",DF,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats""Bournemouth",25-148,1998,14,12,"1,012",11.2,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.4,12,37,15,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,"<a href=""/en/players/f31def1e/matchlogs/2023-2024/summary/Lloyd-Kelly-Match-Logs""Matches"
278,269,"<a href=""/en/players/0ad53bdc/Milos-Kerkez""Milos Kerkez","<a href=""/en/country/HUN/Hungary-Football""<span style=""white-space: nowrap""<span class=""f-i f-hu"" style=""""hu",DF,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats""Bournemouth",20-116,2003,19,14,"1,314",14.6,0,1,1,0,0,0,2,0,0.3,0.3,0.3,0.6,24,25,56,0.00,0.07,0.07,0.00,0.07,0.02,0.02,0.04,0.02,0.04,"<a href=""/en/players/0ad53bdc/matchlogs/2023-2024/summary/Milos-Kerkez-Match-Logs""Matches"
279,270,"<a href=""/en/players/d0f72bf1/Max-Kilman""Max Kilman","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",DF,"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats""Wolves",26-284,1997,26,26,"2,340",26.0,2,0,2,2,0,0,5,0,1.6,1.6,0.7,2.3,21,86,3,0.08,0.00,0.08,0.08,0.08,0.06,0.03,0.09,0.06,0.09,"<a href=""/en/players/d0f72bf1/matchlogs/2023-2024/summary/Max-Kilman-Match-Logs""Matches"
280,271,"<a href=""/en/players/dc3e663e/Jakub-Kiwior""Jakub Kiwior","<a href=""/en/country/POL/Poland-Football""<span style=""white-space: nowrap""<span class=""f-i f-pl"" style=""""pl",DF,"<a href=""/en/squads/18bb7c10/Arsenal-Stats""Arsenal",24-016,2000,14,7,620,6.9,1,2,3,1,0,0,1,0,0.8,0.8,0.6,1.4,2,36,10,0.15,0.29,0.44,0.15,0.44,0.11,0.09,0.20,0.11,0.20,"<a href=""/en/players/dc3e663e/matchlogs/2023-2024/summary/Jakub-Kiwior-Match-Logs""Matches"
281,272,"<a href=""/en/players/4c3a6744/Justin-Kluivert""Justin Kluivert","<a href=""/en/country/NED/Netherlands-Football""<span style=""white-space: nowrap""<span class=""f-i f-nl"" style=""""nl","MF,FW","<a href=""/en/squads/4ba7cbea/Bournemouth-Stats""Bournemouth",24-302,1999,20,15,"1,091",12.1,3,0,3,3,0,0,3,0,2.8,2.8,1.3,4.1,31,29,69,0.25,0.00,0.25,0.25,0.25,0.23,0.11,0.34,0.23,0.34,"<a href=""/en/players/4c3a6744/matchlogs/2023-2024/summary/Justin-Kluivert-Match-Logs""Matches"
282,273,"<a href=""/en/players/fc076f78/Luca-Koleosho""Luca Koleosho","<a href=""/en/country/ITA/Italy-Football""<span style=""white-space: nowrap""<span class=""f-i f-it"" style=""""it","MF,FW","<a href=""/en/squads/943e8050/Burnley-Stats""Burnley",19-169,2004,15,13,974,10.8,1,1,2,1,0,0,0,0,2.0,2.0,1.3,3.3,53,19,82,0.09,0.09,0.18,0.09,0.18,0.18,0.12,0.30,0.18,0.30,"<a href=""/en/players/fc076f78/matchlogs/2023-2024/summary/Luca-Koleosho-Match-Logs""Matches"
283,274,"<a href=""/en/players/5ed9b537/Ibrahima-Konate""Ibrahima Konaté","<a href=""/en/country/FRA/France-Football""<span style=""white-space: nowrap""<span class=""f-i f-fr"" style=""""fr",DF,"<a href=""/en/squads/822bd0ba/Liverpool-Stats""Liverpool",24-282,1999,18,13,"1,242",13.8,0,0,0,0,0,0,5,1,0.4,0.4,0.4,0.9,16,91,3,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,"<a href=""/en/players/5ed9b537/matchlogs/2023-2024/summary/Ibrahima-Konate-Match-Logs""Matches"
284,275,"<a href=""/en/players/0313a347/Ezri-Konsa""Ezri Konsa","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",DF,"<a href=""/en/squads/8602292d/Aston-Villa-Stats""Aston Villa",26-131,1997,23,23,"1,996",22.2,0,0,0,0,0,0,5,0,1.8,1.8,0.4,2.2,26,97,21,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,"<a href=""/en/players/0313a347/matchlogs/2023-2024/summary/Ezri-Konsa-Match-Logs""Matches"
285,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
286,276,"<a href=""/en/players/8d3c902d/Cheikhou-Kouyate""Cheikhou Kouyaté","<a href=""/en/country/SEN/Senegal-Football""<span style=""white-space: nowrap""<span class=""f-i f-sn"" style=""""sn",MF,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats""Nott'ham Forest",34-072,1989,10,2,205,2.3,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,0,5,5,0.00,0.00,0.00,0.00,0.00,0.12,0.02,0.14,0.12,0.14,"<a href=""/en/players/8d3c902d/matchlogs/2023-2024/summary/Cheikhou-Kouyate-Match-Logs""Matches"
287,277,"<a href=""/en/players/79c0821a/Mateo-Kovacic""Mateo Kovačić","<a href=""/en/country/CRO/Croatia-Football""<span style=""white-space: nowrap""<span class=""f-i f-hr"" style=""""hr",MF,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats""Manchester City",29-301,1994,19,10,949,10.5,0,0,0,0,0,0,3,0,0.8,0.8,1.1,1.9,26,65,26,0.00,0.00,0.00,0.00,0.00,0.07,0.11,0.18,0.07,0.18,"<a href=""/en/players/79c0821a/matchlogs/2023-2024/summary/Mateo-Kovacic-Match-Logs""Matches"
288,278,"<a href=""/en/players/77cf6852/Emil-Krafth""Emil Krafth","<a href=""/en/country/SWE/Sweden-Football""<span style=""white-space: nowrap""<span class=""f-i f-se"" style=""""se",DF,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats""Newcastle Utd",29-213,1994,6,0,86,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,2,10,16,0.00,0.00,0.00,0.00,0.00,0.07,0.53,0.60,0.07,0.60,"<a href=""/en/players/77cf6852/matchlogs/2023-2024/summary/Emil-Krafth-Match-Logs""Matches"
289,279,"<a href=""/en/players/df3cda47/Dejan-Kulusevski""Dejan Kulusevski","<a href=""/en/country/SWE/Sweden-Football""<span style=""white-space: nowrap""<span class=""f-i f-se"" style=""""se","FW,MF","<a href=""/en/squads/361ca564/Tottenham-Hotspur-Stats""Tottenham",23-312,2000,23,22,"1,938",21.5,6,2,8,6,0,0,6,0,3.3,3.3,5.5,8.9,115,103,266,0.28,0.09,0.37,0.28,0.37,0.15,0.26,0.41,0.15,0.41,"<a href=""/en/players/df3cda47/matchlogs/2023-2024/summary/Dejan-Kulusevski-Match-Logs""Matches"
290,280,"<a href=""/en/players/99813635/Adam-Lallana""Adam Lallana","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",MF,"<a href=""/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats""Brighton",35-297,1988,18,9,595,6.6,0,1,1,0,0,0,1,0,0.3,0.3,1.0,1.2,4,23,43,0.00,0.15,0.15,0.00,0.15,0.04,0.14,0.18,0.04,0.18,"<a href=""/en/players/99813635/matchlogs/2023-2024/summary/Adam-Lallana-Match-Logs""Matches"
291,281,"<a href=""/en/players/f4e433d4/Tariq-Lamptey""Tariq Lamptey","<a href=""/en/country/GHA/Ghana-Football""<span style=""white-space: nowrap""<span class=""f-i f-gh"" style=""""gh","DF,FW","<a href=""/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats""Brighton",23-154,2000,11,6,517,5.7,0,3,3,0,0,0,3,0,0.4,0.4,0.6,1.0,21,14,38,0.00,0.52,0.52,0.00,0.52,0.07,0.10,0.17,0.07,0.17,"<a href=""/en/players/f4e433d4/matchlogs/2023-2024/summary/Tariq-Lamptey-Match-Logs""Matches"
292,282,"<a href=""/en/players/119b9a8e/Aymeric-Laporte""Aymeric Laporte","<a href=""/en/country/ESP/Spain-Football""<span style=""white-space: nowrap""<span class=""f-i f-es"" style=""""es",DF,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats""Manchester City",29-280,1994,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.27,0.27,0.27,"<a href=""/en/players/119b9a8e/matchlogs/2023-2024/summary/Aymeric-Laporte-Match-Logs""Matches"
293,283,"<a href=""/en/players/0ed063d6/Yasser-Larouci""Yasser Larouci","<a href=""/en/country/ALG/Algeria-Football""<span style=""white-space: nowrap""<span class=""f-i f-dz"" style=""""dz",DF,"<a href=""/en/squads/1df6b87e/Sheffield-United-Stats""Sheffield Utd",23-061,2001,9,4,421,4.7,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.4,14,12,9,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09,"<a href=""/en/players/0ed063d6/matchlogs/2023-2024/summary/Yasser-Larouci-Match-Logs""Matches"
294,284,"<a href=""/en/players/450ab6fc/Jamaal-Lascelles""Jamaal Lascelles","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",DF,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats""Newcastle Utd",30-112,1993,15,12,"1,064",11.8,1,0,1,1,0,0,4,0,0.7,0.7,0.1,0.8,8,31,3,0.08,0.00,0.08,0.08,0.08,0.06,0.01,0.07,0.06,0.07,"<a href=""/en/players/450ab6fc/matchlogs/2023-2024/summary/Jamaal-Lascelles-Match-Logs""Matches"
295,285,"<a href=""/en/players/ecad9aa5/Romeo-Lavia""Roméo Lavia","<a href=""/en/country/BEL/Belgium-Football""<span style=""white-space: nowrap""<span class=""f-i f-be"" style=""""be",MF,"<a href=""/en/squads/cff3d9bb/Chelsea-Stats""Chelsea",20-056,2004,1,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"<a href=""/en/players/ecad9aa5/matchlogs/2023-2024/summary/Romeo-Lavia-Match-Logs""Matches"
296,286,"<a href=""/en/players/2b471f99/Mario-Lemina""Mario Lemina","<a href=""/en/country/GAB/Gabon-Football""<span style=""white-space: nowrap""<span class=""f-i f-ga"" style=""""ga",MF,"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats""Wolves",30-183,1993,23,23,"2,009",22.3,4,0,4,4,0,0,10,1,3.8,3.8,0.5,4.4,20,53,26,0.18,0.00,0.18,0.18,0.18,0.17,0.02,0.19,0.17,0.19,"<a href=""/en/players/2b471f99/matchlogs/2023-2024/summary/Mario-Lemina-Match-Logs""Matches"
297,287,"<a href=""/en/players/4f28a6ff/Clement-Lenglet""Clément Lenglet","<a href=""/en/country/FRA/France-Football""<span style=""white-space: nowrap""<span class=""f-i f-fr"" style=""""fr",DF,"<a href=""/en/squads/8602292d/Aston-Villa-Stats""Aston Villa",28-259,1995,9,9,781,8.7,0,1,1,0,0,0,2,0,0.7,0.7,0.8,1.4,26,46,1,0.00,0.12,0.12,0.00,0.12,0.08,0.09,0.17,0.08,0.17,"<a href=""/en/players/4f28a6ff/matchlogs/2023-2024/summary/Clement-Lenglet-Match-Logs""Matches"
298,288,"<a href=""/en/players/2628fd2b/Bernd-Leno""Bernd Leno","<a href=""/en/country/GER/Germany-Football""<span style=""white-space: nowrap""<span class=""f-i f-de"" style=""""de",GK,"<a href=""/en/squads/fd962109/Fulham-Stats""Fulham",31-364,1992,26,26,"2,340",26.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"<a href=""/en/players/2628fd2b/matchlogs/2023-2024/summary/Bernd-Leno-Match-Logs""Matches"
299,289,"<a href=""/en/players/9b5ce51a/Jefferson-Lerma""Jefferson Lerma","<a href=""/en/country/COL/Colombia-Football""<span style=""white-space: nowrap""<span class=""f-i f-co"" style=""""co",MF,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats""Crystal Palace",29-129,1994,21,21,"1,845",20.5,1,1,2,1,0,0,6,0,2.6,2.6,1.7,4.2,12,80,47,0.05,0.05,0.10,0.05,0.10,0.12,0.08,0.21,0.12,0.21,"<a href=""/en/players/9b5ce51a/matchlogs/2023-2024/summary/Jefferson-Lerma-Match-Logs""Matches"
300,290,"<a href=""/en/players/b57e066e/Rico-Lewis""Rico Lewis","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng","MF,DF","<a href=""/en/squads/b8fd03ef/Manchester-City-Stats""Manchester City",19-102,2004,10,5,454,5.0,1,0,1,1,0,0,1,0,0.3,0.3,0.5,0.8,6,12,17,0.20,0.00,0.20,0.20,0.20,0.06,0.09,0.15,0.06,0.15,"<a href=""/en/players/b57e066e/matchlogs/2023-2024/summary/Rico-Lewis-Match-Logs""Matches"
301,291,"<a href=""/en/players/41f08ac8/Keane-Lewis-Potter""Keane Lewis-Potter","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng","FW,DF","<a href=""/en/squads/cd051869/Brentford-Stats""Brentford",23-009,2001,20,9,914,10.2,2,1,3,2,0,0,0,0,3.2,3.2,1.0,4.1,34,23,96,0.20,0.10,0.30,0.20,0.30,0.31,0.10,0.41,0.31,0.41,"<a href=""/en/players/41f08ac8/matchlogs/2023-2024/summary/Keane-Lewis-Potter-Match-Logs""Matches"
302,292,"<a href=""/en/players/f5deef4c/Victor-Lindelof""Victor Lindelöf","<a href=""/en/country/SWE/Sweden-Football""<span style=""white-space: nowrap""<span class=""f-i f-se"" style=""""se",DF,"<a href=""/en/squads/19538871/Manchester-United-Stats""Manchester Utd",29-229,1994,16,11,"1,080",12.0,1,1,2,1,0,0,2,0,0.4,0.4,0.3,0.7,16,32,17,0.08,0.08,0.17,0.08,0.17,0.03,0.03,0.06,0.03,0.06,"<a href=""/en/players/f5deef4c/matchlogs/2023-2024/summary/Victor-Lindelof-Match-Logs""Matches"
303,293,"<a href=""/en/players/afed6722/Valentino-Livramento""Valentino Livramento","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",DF,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats""Newcastle Utd",21-111,2002,19,7,846,9.4,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.5,26,29,44,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,"<a href=""/en/players/afed6722/matchlogs/2023-2024/summary/Valentino-Livramento-Match-Logs""Matches"
304,294,"<a href=""/en/players/d7553721/Giovani-Lo-Celso""Giovani Lo Celso","<a href=""/en/country/ARG/Argentina-Football""<span style=""white-space: nowrap""<span class=""f-i f-ar"" style=""""ar",MF,"<a href=""/en/squads/361ca564/Tottenham-Hotspur-Stats""Tottenham",27-328,1996,11,4,419,4.7,2,2,4,2,0,0,1,0,0.4,0.4,0.9,1.3,21,50,22,0.43,0.43,0.86,0.43,0.86,0.09,0.19,0.28,0.09,0.28,"<a href=""/en/players/d7553721/matchlogs/2023-2024/summary/Giovani-Lo-Celso-Match-Logs""Matches"
305,295,"<a href=""/en/players/37118440/Tom-Lockyer""Tom Lockyer","<a href=""/en/country/WAL/Wales-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-wls"" style=""""wls",DF,"<a href=""/en/squads/e297cd13/Luton-Town-Stats""Luton Town",29-090,1994,14,14,"1,169",13.0,1,1,2,1,0,0,4,0,1.1,1.1,0.6,1.7,6,37,2,0.08,0.08,0.15,0.08,0.15,0.08,0.05,0.13,0.08,0.13,"<a href=""/en/players/37118440/matchlogs/2023-2024/summary/Tom-Lockyer-Match-Logs""Matches"
306,296,"<a href=""/en/players/a2b105e0/Sean-Longstaff""Sean Longstaff","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",MF,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats""Newcastle Utd",26-124,1997,23,18,"1,719",19.1,4,2,6,4,0,0,5,0,3.6,3.6,1.7,5.2,14,92,70,0.21,0.10,0.31,0.21,0.31,0.19,0.09,0.27,0.19,0.27,"<a href=""/en/players/a2b105e0/matchlogs/2023-2024/summary/Sean-Longstaff-Match-Logs""Matches"
307,297,"<a href=""/en/players/7af88b33/Max-Lowe""Max Lowe","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng","DF,MF","<a href=""/en/squads/1df6b87e/Sheffield-United-Stats""Sheffield Utd",26-296,1997,8,3,399,4.4,0,0,0,0,0,0,1,0,0.6,0.6,0.7,1.3,4,9,7,0.00,0.00,0.00,0.00,0.00,0.13,0.16,0.29,0.13,0.29,"<a href=""/en/players/7af88b33/matchlogs/2023-2024/summary/Max-Lowe-Match-Logs""Matches"
308,298,"<a href=""/en/players/6f7d826d/Douglas-Luiz""Douglas Luiz","<a href=""/en/country/BRA/Brazil-Football""<span style=""white-space: nowrap""<span class=""f-i f-br"" style=""""br",MF,"<a href=""/en/squads/8602292d/Aston-Villa-Stats""Aston Villa",25-298,1998,25,25,"2,148",23.9,9,4,13,5,4,4,6,0,6.5,3.3,3.7,7.0,48,139,42,0.38,0.17,0.54,0.21,0.38,0.27,0.15,0.43,0.14,0.29,"<a href=""/en/players/6f7d826d/matchlogs/2023-2024/summary/Douglas-Luiz-Match-Logs""Matches"
309,299,"<a href=""/en/players/c6e8cf1f/Sasa-Lukic""Saša Lukić","<a href=""/en/country/SRB/Serbia-Football""<span style=""white-space: nowrap""<span class=""f-i f-rs"" style=""""rs",MF,"<a href=""/en/squads/fd962109/Fulham-Stats""Fulham",27-202,1996,14,5,488,5.4,0,0,0,0,0,0,2,0,0.8,0.8,0.2,1.0,4,21,10,0.00,0.00,0.00,0.00,0.00,0.14,0.04,0.19,0.14,0.19,"<a href=""/en/players/c6e8cf1f/matchlogs/2023-2024/summary/Sasa-Lukic-Match-Logs""Matches"
310,300,"<a href=""/en/players/cab9634e/Ian-Maatsen""Ian Maatsen","<a href=""/en/country/NED/Netherlands-Football""<span style=""white-space: nowrap""<span class=""f-i f-nl"" style=""""nl","FW,MF","<a href=""/en/squads/cff3d9bb/Chelsea-Stats""Chelsea",21-358,2002,12,1,209,2.3,0,0,0,0,0,0,1,0,0.8,0.8,0.1,0.9,9,8,15,0.00,0.00,0.00,0.00,0.00,0.35,0.04,0.39,0.35,0.39,"<a href=""/en/players/cab9634e/matchlogs/2023-2024/summary/Ian-Maatsen-Match-Logs""Matches"
311,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
312,301,"<a href=""/en/players/83d074ff/Alexis-Mac-Allister""Alexis Mac Allister","<a href=""/en/country/ARG/Argentina-Football""<span style=""white-space: nowrap""<span class=""f-i f-ar"" style=""""ar",MF,"<a href=""/en/squads/822bd0ba/Liverpool-Stats""Liverpool",25-069,1998,21,20,"1,629",18.1,2,3,5,2,0,0,5,1,0.8,0.8,1.3,2.1,22,111,17,0.11,0.17,0.28,0.11,0.28,0.04,0.07,0.12,0.04,0.12,"<a href=""/en/players/83d074ff/matchlogs/2023-2024/summary/Alexis-Mac-Allister-Match-Logs""Matches"
313,302,"<a href=""/en/players/ee38d9c5/James-Maddison""James Maddison","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",MF,"<a href=""/en/squads/361ca564/Tottenham-Hotspur-Stats""Tottenham",27-100,1996,15,15,"1,227",13.6,3,6,9,3,0,0,3,0,3.4,3.4,3.6,7.1,38,130,88,0.22,0.44,0.66,0.22,0.66,0.25,0.27,0.52,0.25,0.52,"<a href=""/en/players/ee38d9c5/matchlogs/2023-2024/summary/James-Maddison-Match-Logs""Matches"
314,303,"<a href=""/en/players/bf34eebd/Noni-Madueke""Noni Madueke","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",FW,"<a href=""/en/squads/cff3d9bb/Chelsea-Stats""Chelsea",21-358,2002,12,4,349,3.9,2,0,2,1,1,1,1,0,1.2,0.4,0.6,1.0,29,16,54,0.52,0.00,0.52,0.26,0.26,0.30,0.15,0.46,0.10,0.25,"<a href=""/en/players/bf34eebd/matchlogs/2023-2024/summary/Noni-Madueke-Match-Logs""Matches"
315,304,"<a href=""/en/players/d8931174/Harry-Maguire""Harry Maguire","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",DF,"<a href=""/en/squads/19538871/Manchester-United-Stats""Manchester Utd",30-363,1993,16,13,"1,158",12.9,1,2,3,1,0,0,3,0,1.7,1.7,1.2,3.0,12,54,1,0.08,0.16,0.23,0.08,0.23,0.13,0.10,0.23,0.13,0.23,"<a href=""/en/players/d8931174/matchlogs/2023-2024/summary/Harry-Maguire-Match-Logs""Matches"
316,305,"<a href=""/en/players/c6220452/Kobbie-Mainoo""Kobbie Mainoo","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",MF,"<a href=""/en/squads/19538871/Manchester-United-Stats""Manchester Utd",18-318,2005,12,12,947,10.5,1,0,1,1,0,0,3,0,0.2,0.2,0.4,0.6,8,29,11,0.10,0.00,0.10,0.10,0.10,0.02,0.04,0.06,0.02,0.06,"<a href=""/en/players/c6220452/matchlogs/2023-2024/summary/Kobbie-Mainoo-Match-Logs""Matches"
317,306,"<a href=""/en/players/a572e291/Orel-Mangala""Orel Mangala","<a href=""/en/country/BEL/Belgium-Football""<span style=""white-space: nowrap""<span class=""f-i f-be"" style=""""be",MF,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats""Nott'ham Forest",25-350,1998,20,19,"1,563",17.4,1,0,1,1,0,0,6,0,0.8,0.8,0.2,1.1,13,45,14,0.06,0.00,0.06,0.06,0.06,0.05,0.01,0.06,0.05,0.06,"<a href=""/en/players/a572e291/matchlogs/2023-2024/summary/Orel-Mangala-Match-Logs""Matches"
