,0
0.09,goals_pens_per90
0.18,goals_assists_pens_per90
0.01,xg_per90
0.05,xg_assist_per90
0.06,xg_xg_assist_per90
0.01,npxg_per90
0.06,npxg_xg_assist_per90
"<a href=""/en/players/246d153b/matchlogs/2023-2024/summary/Ola-Aina-Match-Logs""Matches",matches
11,ranker
"<a href=""/en/players/9b398aea/Rayan-Ait-Nouri""Rayan Aït Nouri",player
"<a href=""/en/country/ALG/Algeria-Football""<span style=""white-space: nowrap""<span class=""f-i f-dz"" style=""""dz",nationality
"DF,MF",position
"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats""Wolves",team
22-269,age
2001,birth_year
22,games
19,games_starts
"1,525",minutes
16.9,minutes_90s
0,goals
1,assists
1,goals_assists
0,goals_pens
0,pens_made
0,pens_att
5,cards_yellow
0,cards_red
1.6,xg
1.6,npxg
1.5,xg_assist
3.1,npxg_xg_assist
44,progressive_carries
76,progressive_passes
69,progressive_passes_received
0.00,goals_per90
0.06,assists_per90
0.06,goals_assists_per90
0.00,goals_pens_per90
0.06,goals_assists_pens_per90
0.10,xg_per90
0.09,xg_assist_per90
0.18,xg_xg_assist_per90
0.10,npxg_per90
0.18,npxg_xg_assist_per90
"<a href=""/en/players/9b398aea/matchlogs/2023-2024/summary/Rayan-Ait-Nouri-Match-Logs""Matches",matches
12,ranker
"<a href=""/en/players/a8c0acb7/Kristoffer-Ajer""Kristoffer Ajer",player
"<a href=""/en/country/NOR/Norway-Football""<span style=""white-space: nowrap""<span class=""f-i f-no"" style=""""no",nationality
DF,position
"<a href=""/en/squads/cd051869/Brentford-Stats""Brentford",team
25-319,age
1998,birth_year
18,games
11,games_starts
"1,028",minutes
11.4,minutes_90s
0,goals
1,assists
1,goals_assists
0,goals_pens
0,pens_made
0,pens_att
4,cards_yellow
0,cards_red
0.7,xg
0.7,npxg
1.8,xg_assist
2.4,npxg_xg_assist
16,progressive_carries
37,progressive_passes
25,progressive_passes_received
0.00,goals_per90
0.09,assists_per90
0.09,goals_assists_per90
0.00,goals_pens_per90
0.09,goals_assists_pens_per90
0.06,xg_per90
0.15,xg_assist_per90
0.21,xg_xg_assist_per90
0.06,npxg_per90
0.21,npxg_xg_assist_per90
"<a href=""/en/players/a8c0acb7/matchlogs/2023-2024/summary/Kristoffer-Ajer-Match-Logs""Matches",matches
13,ranker
"<a href=""/en/players/89ac64a6/Manuel-Akanji""Manuel Akanji",player
"<a href=""/en/country/SUI/Switzerland-Football""<span style=""white-space: nowrap""<span class=""f-i f-ch"" style=""""ch",nationality
"DF,MF",position
"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats""Manchester City",team
28-226,age
1995,birth_year
19,games
18,games_starts
"1,586",minutes
17.6,minutes_90s
2,goals
0,assists
2,goals_assists
2,goals_pens
0,pens_made
0,pens_att
4,cards_yellow
1,cards_red
0.9,xg
0.9,npxg
0.2,xg_assist
1.1,npxg_xg_assist
34,progressive_carries
93,progressive_passes
21,progressive_passes_received
0.11,goals_per90
0.00,assists_per90
0.11,goals_assists_per90
0.11,goals_pens_per90
0.11,goals_assists_pens_per90
0.05,xg_per90
0.01,xg_assist_per90
0.06,xg_xg_assist_per90
0.05,npxg_per90
0.06,npxg_xg_assist_per90
"<a href=""/en/players/89ac64a6/matchlogs/2023-2024/summary/Manuel-Akanji-Match-Logs""Matches",matches
14,ranker
"<a href=""/en/players/eaeca114/Nathan-Ake""Nathan Aké",player
